deputado1,deputado2,peso
Helder Salomão,Luizianne Lins,2
Helder Salomão,Castro Neto,2
Helder Salomão,Sargento Gonçalves,2
Helder Salomão,Carlos Chiodini,2
Helder Salomão,Emanuel Pinheiro Neto,2
Helder Salomão,Leônidas Cristino,2
Helder Salomão,Rodrigo Estacho,2
Helder Salomão,Carlos Zarattini,2
Helder Salomão,Mario Frias,2
Helder Salomão,Greyce Elias,2
Helder Salomão,Paulo Guedes,2
Helder Salomão,Prof. Reginaldo Veras,2
Helder Salomão,Orlando Silva,2
Helder Salomão,Reginaldo Lopes,2
Helder Salomão,Sergio Souza,2
Helder Salomão,Delegado Fabio Costa,6
Helder Salomão,Pastor Diniz,2
Helder Salomão,Henderson Pinto,2
Helder Salomão,Lebrão,2
Helder Salomão,Paulo Azi,2
Helder Salomão,Clodoaldo Magalhães,2
Helder Salomão,Rafael Prudente,2
Helder Salomão,Ivan Valente,2
Helder Salomão,Domingos Neto,2
Helder Salomão,Igor Timo,2
Helder Salomão,Delegado Ramagem,2
Helder Salomão,Helena Lima,2
Helder Salomão,Neto Carletto,2
Helder Salomão,Adriano do Baldy,2
Helder Salomão,Márcio Marinho,2
Helder Salomão,Vinicius Gurgel,2
Helder Salomão,Luciano Vieira,2
Helder Salomão,Keniston Braga,2
Helder Salomão,Silvia Cristina,2
Helder Salomão,Luciano Alves,2
Helder Salomão,Marcos Aurélio Sampaio,2
Helder Salomão,Jones Moura,2
Helder Salomão,Carla Zambelli,2
Helder Salomão,Sâmia Bomfim,6
Helder Salomão,Célia Xakriabá,2
Helder Salomão,Dra. Alessandra Haber,2
Helder Salomão,Cristiane Lopes,2
Helder Salomão,Lindbergh Farias,2
Helder Salomão,Chiquinho Brazão,2
Helder Salomão,Bruno Ganem,2
Helder Salomão,Juliana Cardoso,2
Helder Salomão,Daniel Almeida,2
Helder Salomão,Newton Cardoso Jr,2
Helder Salomão,Renata Abreu,2
Helder Salomão,Daniel Agrobom,2
Helder Salomão,Paulinho Freire,2
Helder Salomão,Rosana Valle,2
Helder Salomão,Afonso Hamm,2
Helder Salomão,Tião Medeiros,2
Helder Salomão,Bia Kicis,2
